server_generation,latency_sensitivity,time_step,capacity,demand
CPU.S4,high,3,0.0,0.0
GPU.S1,low,3,25.0,25.0
GPU.S1,medium,3,4.0,4.0
GPU.S1,high,3,125.0,125.0
GPU.S2,low,3,0.0,0.0
GPU.S2,medium,3,0.0,0.0
GPU.S2,high,3,0.0,0.0
GPU.S3,low,3,0.0,0.0
GPU.S3,medium,3,0.0,0.0
GPU.S3,high,3,0.0,0.0
CPU.S1,low,4,5316.0,6810.0
CPU.S1,medium,4,36159.0,36159.0
CPU.S1,high,4,22420.0,22420.0
CPU.S2,low,4,0.0,0.0
CPU.S2,medium,4,0.0,0.0
CPU.S2,high,4,0.0,0.0
CPU.S3,low,4,0.0,0.0
CPU.S3,medium,4,0.0,0.0
CPU.S3,high,4,0.0,0.0
CPU.S4,low,4,0.0,0.0
CPU.S4,medium,4,0.0,0.0
CPU.S4,high,4,0.0,0.0
GPU.S1,low,4,34.0,34.0
GPU.S1,medium,4,0.0,0.0
GPU.S1,high,4,187.0,187.0
GPU.S2,low,4,0.0,0.0
GPU.S2,medium,4,0.0,0.0
GPU.S2,high,4,0.0,0.0
GPU.S3,low,4,0.0,0.0
GPU.S3,medium,4,0.0,0.0
GPU.S3,high,4,0.0,0.0
CPU.S1,low,5,5316.0,5316.0
CPU.S1,medium,5,48529.0,48529.0
CPU.S1,high,5,29628.0,29628.0
CPU.S2,low,5,0.0,0.0
CPU.S2,medium,5,0.0,0.0
CPU.S2,high,5,0.0,0.0
CPU.S3,low,5,0.0,0.0
CPU.S3,medium,5,0.0,0.0
CPU.S3,high,5,0.0,0.0
CPU.S4,low,5,0.0,0.0
CPU.S4,medium,5,0.0,0.0
CPU.S4,high,5,0.0,0.0
GPU.S1,low,5,43.0,43.0
GPU.S1,medium,5,4.0,4.0
GPU.S1,high,5,210.0,210.0
GPU.S2,low,5,0.0,0.0
GPU.S2,medium,5,0.0,0.0
GPU.S2,high,5,0.0,0.0
GPU.S3,low,5,0.0,0.0
GPU.S3,medium,5,0.0,0.0
GPU.S3,high,5,0.0,0.0
CPU.S1,low,6,6644.0,8179.0
CPU.S1,medium,6,66778.492841833,74072.0
CPU.S1,high,6,45103.0,45103.0
CPU.S2,low,6,0.0,0.0
CPU.S2,medium,6,0.0,0.0
CPU.S2,high,6,0.0,0.0
CPU.S3,low,6,0.0,0.0
CPU.S3,medium,6,0.0,0.0
CPU.S3,high,6,0.0,0.0
CPU.S4,low,6,0.0,0.0
CPU.S4,medium,6,0.0,0.0
CPU.S4,high,6,0.0,0.0
GPU.S1,low,6,62.0,62.0
GPU.S1,medium,6,7.0,7.0
GPU.S1,high,6,252.0,252.0
GPU.S2,low,6,0.0,0.0
GPU.S2,medium,6,0.0,0.0
GPU.S2,high,6,0.0,0.0
GPU.S3,low,6,0.0,0.0
GPU.S3,medium,6,0.0,0.0
GPU.S3,high,6,0.0,0.0
CPU.S1,low,7,6644.0,16021.0
CPU.S1,medium,7,69249.0,69249.0
CPU.S1,high,7,44708.498460553084,44560.0
CPU.S2,low,7,0.0,0.0
CPU.S2,medium,7,0.0,0.0
CPU.S2,high,7,0.0,0.0
CPU.S3,low,7,0.0,0.0
CPU.S3,medium,7,0.0,0.0
CPU.S3,high,7,0.0,0.0
CPU.S4,low,7,0.0,0.0
CPU.S4,medium,7,0.0,0.0
CPU.S4,high,7,0.0,0.0
GPU.S1,low,7,84.0,84.0
GPU.S1,medium,7,10.0,10.0
GPU.S1,high,7,320.0,320.0
GPU.S2,low,7,0.0,0.0
GPU.S2,medium,7,0.0,0.0
GPU.S2,high,7,0.0,0.0
GPU.S3,low,7,0.0,0.0
GPU.S3,medium,7,0.0,0.0
GPU.S3,high,7,0.0,0.0
CPU.S1,low,8,6572.235823009173,14349.0
CPU.S1,medium,8,83568.0,83568.0
CPU.S1,high,8,56233.0,56233.0
CPU.S2,low,8,0.0,0.0
CPU.S2,medium,8,0.0,0.0
CPU.S2,high,8,0.0,0.0
CPU.S3,low,8,0.0,0.0
CPU.S3,medium,8,0.0,0.0
CPU.S3,high,8,0.0,0.0
CPU.S4,low,8,0.0,0.0
CPU.S4,medium,8,0.0,0.0
CPU.S4,high,8,0.0,0.0
GPU.S1,low,8,96.0,96.0
GPU.S1,medium,8,17.0,17.0
GPU.S1,high,8,365.0,365.0
GPU.S2,low,8,0.0,0.0
GPU.S2,medium,8,0.0,0.0
GPU.S2,high,8,0.0,0.0
GPU.S3,low,8,0.0,0.0
GPU.S3,medium,8,0.0,0.0
GPU.S3,high,8,0.0,0.0
CPU.S1,low,9,6644.0,10628.0
CPU.S1,medium,9,91007.0,91007.0
CPU.S1,high,9,65316.0,65316.0
CPU.S2,low,9,0.0,0.0
CPU.S2,medium,9,0.0,0.0
CPU.S2,high,9,0.0,0.0
CPU.S3,low,9,0.0,0.0
CPU.S3,medium,9,0.0,0.0
CPU.S3,high,9,0.0,0.0
CPU.S4,low,9,0.0,0.0
CPU.S4,medium,9,0.0,0.0
CPU.S4,high,9,0.0,0.0
GPU.S1,low,9,116.0,116.0
GPU.S1,medium,9,31.0,31.0
GPU.S1,high,9,473.0,473.0
GPU.S2,low,9,0.0,0.0
GPU.S2,medium,9,0.0,0.0
GPU.S2,high,9,0.0,0.0
GPU.S3,low,9,0.0,0.0
GPU.S3,medium,9,0.0,0.0
GPU.S3,high,9,0.0,0.0
CPU.S1,low,10,6524.5524107088,21804.0
CPU.S1,medium,10,103223.0,103223.0
CPU.S1,high,10,80180.0,80180.0
CPU.S2,low,10,0.0,0.0
CPU.S2,medium,10,0.0,0.0
CPU.S2,high,10,0.0,0.0
CPU.S3,low,10,0.0,0.0
CPU.S3,medium,10,0.0,0.0
CPU.S3,high,10,0.0,0.0
CPU.S4,low,10,0.0,0.0
CPU.S4,medium,10,0.0,0.0
CPU.S4,high,10,0.0,0.0
GPU.S1,low,10,125.0,125.0
GPU.S1,medium,10,55.0,55.0
GPU.S1,high,10,564.0,564.0
GPU.S2,low,10,0.0,0.0
GPU.S2,medium,10,0.0,0.0
GPU.S2,high,10,0.0,0.0
GPU.S3,low,10,0.0,0.0
GPU.S3,medium,10,0.0,0.0
GPU.S3,high,10,0.0,0.0
CPU.S1,low,11,6287.717637306395,27724.0
CPU.S1,medium,11,114017.0,114017.0
CPU.S1,high,11,92417.0,92417.0
CPU.S2,low,11,0.0,0.0
CPU.S2,medium,11,0.0,0.0
CPU.S2,high,11,0.0,0.0
CPU.S3,low,11,0.0,0.0
CPU.S3,medium,11,0.0,0.0
CPU.S3,high,11,0.0,0.0
CPU.S4,low,11,0.0,0.0
CPU.S4,medium,11,0.0,0.0
CPU.S4,high,11,0.0,0.0
GPU.S1,low,11,157.0,157.0
GPU.S1,medium,11,87.0,87.0
GPU.S1,high,11,516.0,516.0
GPU.S2,low,11,0.0,0.0
GPU.S2,medium,11,0.0,0.0
GPU.S2,high,11,0.0,0.0
GPU.S3,low,11,0.0,0.0
GPU.S3,medium,11,0.0,0.0
GPU.S3,high,11,0.0,0.0
CPU.S1,low,12,6356.741617688151,28664.0
CPU.S1,medium,12,137047.0,137047.0
CPU.S1,high,12,102125.0,102125.0
CPU.S2,low,12,0.0,0.0
CPU.S2,medium,12,0.0,0.0
CPU.S2,high,12,0.0,0.0
CPU.S3,low,12,0.0,0.0
CPU.S3,medium,12,0.0,0.0
CPU.S3,high,12,0.0,0.0
CPU.S4,low,12,0.0,0.0
CPU.S4,medium,12,0.0,0.0
CPU.S4,high,12,0.0,0.0
GPU.S1,low,12,186.0,186.0
GPU.S1,medium,12,94.0,94.0
GPU.S1,high,12,547.0,547.0
GPU.S2,low,12,0.0,0.0
GPU.S2,medium,12,0.0,0.0
GPU.S2,high,12,0.0,0.0
GPU.S3,low,12,0.0,0.0
GPU.S3,medium,12,0.0,0.0
GPU.S3,high,12,0.0,0.0
CPU.S1,low,13,5944.631578947368,31305.0
CPU.S1,medium,13,140917.47368421053,142282.0
CPU.S1,high,13,112929.0,112929.0
CPU.S2,low,13,0.0,0.0
CPU.S2,medium,13,0.0,0.0
CPU.S2,high,13,0.0,0.0
CPU.S3,low,13,0.0,0.0
CPU.S3,medium,13,0.0,0.0
CPU.S3,high,13,0.0,0.0
CPU.S4,low,13,0.0,0.0
CPU.S4,medium,13,0.0,0.0
CPU.S4,high,13,0.0,0.0
GPU.S1,low,13,211.0,211.0
GPU.S1,medium,13,104.0,104.0
GPU.S1,high,13,533.0,533.0
GPU.S2,low,13,0.0,0.0
GPU.S2,medium,13,0.0,0.0
GPU.S2,high,13,0.0,0.0
GPU.S3,low,13,0.0,0.0
GPU.S3,medium,13,0.0,0.0
GPU.S3,high,13,0.0,0.0
CPU.S1,low,14,6194.323068929674,34893.0
CPU.S1,medium,14,154428.01856071688,164804.0
CPU.S1,high,14,124041.06745594947,133146.0
CPU.S2,low,14,0.0,0.0
CPU.S2,medium,14,0.0,0.0
CPU.S2,high,14,0.0,0.0
CPU.S3,low,14,0.0,0.0
CPU.S3,medium,14,0.0,0.0
CPU.S3,high,14,0.0,0.0
CPU.S4,low,14,0.0,0.0
CPU.S4,medium,14,0.0,0.0
CPU.S4,high,14,0.0,0.0
GPU.S1,low,14,231.0,231.0
GPU.S1,medium,14,155.0,155.0
GPU.S1,high,14,640.0,640.0
GPU.S2,low,14,0.0,0.0
GPU.S2,medium,14,0.0,0.0
GPU.S2,high,14,0.0,0.0
GPU.S3,low,14,0.0,0.0
GPU.S3,medium,14,0.0,0.0
GPU.S3,high,14,0.0,0.0
CPU.S1,low,15,6644.0,11306.0
CPU.S1,medium,15,157496.0,157496.0
CPU.S1,high,15,120204.63513613012,117180.0
CPU.S2,low,15,0.0,0.0
CPU.S2,medium,15,0.0,0.0
CPU.S2,high,15,0.0,0.0
CPU.S3,low,15,0.0,0.0
CPU.S3,medium,15,0.0,0.0
CPU.S3,high,15,0.0,0.0
CPU.S4,low,15,0.0,0.0
CPU.S4,medium,15,0.0,0.0
CPU.S4,high,15,0.0,0.0
GPU.S1,low,15,286.0,286.0
GPU.S1,medium,15,173.0,173.0
GPU.S1,high,15,706.0,706.0
GPU.S2,low,15,0.0,0.0
GPU.S2,medium,15,0.0,0.0
GPU.S2,high,15,0.0,0.0
GPU.S3,low,15,0.0,0.0
GPU.S3,medium,15,0.0,0.0
GPU.S3,high,15,0.0,0.0
CPU.S1,low,16,6644.0,6644.0
CPU.S1,medium,16,151592.74632436913,150549.0
CPU.S1,high,16,126214.76470588238,122939.0
CPU.S2,low,16,0.0,0.0
CPU.S2,medium,16,0.0,0.0
CPU.S2,high,16,0.0,0.0
CPU.S3,low,16,0.0,0.0
CPU.S3,medium,16,0.0,0.0
CPU.S3,high,16,0.0,0.0
CPU.S4,low,16,0.0,0.0
CPU.S4,medium,16,0.0,0.0
CPU.S4,high,16,0.0,0.0
GPU.S1,low,16,348.0,348.0
GPU.S1,medium,16,184.0,184.0
GPU.S1,high,16,815.0,815.0
GPU.S2,low,16,0.0,0.0
GPU.S2,medium,16,0.0,0.0
GPU.S2,high,16,0.0,0.0
GPU.S3,low,16,0.0,0.0
GPU.S3,medium,16,0.0,0.0
GPU.S3,high,16,0.0,0.0
CPU.S1,low,17,887.3089777099917,626.0
CPU.S1,medium,17,176655.0,176655.0
CPU.S1,high,17,130567.0,130567.0
CPU.S2,low,17,0.0,0.0
CPU.S2,medium,17,0.0,0.0
CPU.S2,high,17,0.0,0.0
CPU.S3,low,17,0.0,0.0
CPU.S3,medium,17,0.0,0.0
CPU.S3,high,17,0.0,0.0
CPU.S4,low,17,0.0,0.0
CPU.S4,medium,17,0.0,0.0
CPU.S4,high,17,0.0,0.0
GPU.S1,low,17,412.0,412.0
GPU.S1,medium,17,246.0,246.0
GPU.S1,high,17,950.0,950.0
GPU.S2,low,17,0.0,0.0
GPU.S2,medium,17,0.0,0.0
GPU.S2,high,17,0.0,0.0
GPU.S3,low,17,0.0,0.0
GPU.S3,medium,17,0.0,0.0
GPU.S3,high,17,0.0,0.0
CPU.S1,low,18,972.3997658654496,10798.0
CPU.S1,medium,18,184145.47095450072,223739.0
CPU.S1,high,18,138047.25593632885,165221.0
CPU.S2,low,18,0.0,0.0
CPU.S2,medium,18,0.0,0.0
CPU.S2,high,18,0.0,0.0
CPU.S3,low,18,0.0,0.0
CPU.S3,medium,18,0.0,0.0
CPU.S3,high,18,0.0,0.0
CPU.S4,low,18,0.0,0.0
CPU.S4,medium,18,0.0,0.0
CPU.S4,high,18,0.0,0.0
GPU.S1,low,18,387.0,387.0
GPU.S1,medium,18,284.0,284.0
GPU.S1,high,18,1034.0,1034.0
GPU.S2,low,18,0.0,0.0
GPU.S2,medium,18,0.0,0.0
GPU.S2,high,18,0.0,0.0
GPU.S3,low,18,0.0,0.0
GPU.S3,medium,18,0.0,0.0
GPU.S3,high,18,0.0,0.0
CPU.S1,low,19,2757.7545113252295,0.0
CPU.S1,medium,19,190018.25206988616,177006.0
CPU.S1,high,19,119880.0,119880.0
CPU.S2,low,19,0.0,0.0
CPU.S2,medium,19,0.0,0.0
CPU.S2,high,19,0.0,0.0
CPU.S3,low,19,0.0,0.0
CPU.S3,medium,19,0.0,0.0
CPU.S3,high,19,0.0,0.0
CPU.S4,low,19,0.0,0.0
CPU.S4,medium,19,0.0,0.0
CPU.S4,high,19,0.0,0.0
GPU.S1,low,19,374.0,374.0
GPU.S1,medium,19,317.0,317.0
GPU.S1,high,19,1224.0,1224.0
GPU.S2,low,19,0.0,0.0
GPU.S2,medium,19,0.0,0.0
GPU.S2,high,19,0.0,0.0
GPU.S3,low,19,0.0,0.0
GPU.S3,medium,19,0.0,0.0
GPU.S3,high,19,0.0,0.0
CPU.S1,low,20,2662.4330124650432,9616.0
CPU.S1,medium,20,194052.0,194052.0
CPU.S1,high,20,119759.50581201148,109933.0
CPU.S2,low,20,0.0,0.0
CPU.S2,medium,20,0.0,0.0
CPU.S2,high,20,0.0,0.0
CPU.S3,low,20,0.0,0.0
CPU.S3,medium,20,0.0,0.0
CPU.S3,high,20,0.0,0.0
CPU.S4,low,20,0.0,0.0
CPU.S4,medium,20,0.0,0.0
CPU.S4,high,20,0.0,0.0
GPU.S1,low,20,325.0,325.0
GPU.S1,medium,20,322.0,322.0
GPU.S1,high,20,1254.0,1254.0
GPU.S2,low,20,0.0,0.0
GPU.S2,medium,20,0.0,0.0
GPU.S2,high,20,0.0,0.0
GPU.S3,low,20,0.0,0.0
GPU.S3,medium,20,0.0,0.0
GPU.S3,high,20,0.0,0.0
CPU.S1,low,21,2763.0,2763.0
CPU.S1,medium,21,213993.6771907162,214544.0
CPU.S1,high,21,112780.0,112780.0
CPU.S2,low,21,0.0,0.0
CPU.S2,medium,21,0.0,0.0
CPU.S2,high,21,0.0,0.0
CPU.S3,low,21,0.0,0.0
CPU.S3,medium,21,0.0,0.0
CPU.S3,high,21,0.0,0.0
CPU.S4,low,21,0.0,0.0
CPU.S4,medium,21,0.0,0.0
CPU.S4,high,21,0.0,0.0
GPU.S1,low,21,343.0,343.0
GPU.S1,medium,21,361.0,361.0
GPU.S1,high,21,1190.8405894584912,1172.0
GPU.S2,low,21,0.0,0.0
GPU.S2,medium,21,0.0,0.0
GPU.S2,high,21,0.0,0.0
GPU.S3,low,21,0.0,0.0
GPU.S3,medium,21,0.0,0.0
GPU.S3,high,21,0.0,0.0
CPU.S1,low,22,2808.1934949382858,14451.0
CPU.S1,medium,22,227192.0,227192.0
CPU.S1,high,22,126048.23529411764,124513.0
CPU.S2,low,22,0.0,0.0
CPU.S2,medium,22,0.0,0.0
CPU.S2,high,22,0.0,0.0
CPU.S3,low,22,0.0,0.0
CPU.S3,medium,22,0.0,0.0
CPU.S3,high,22,0.0,0.0
CPU.S4,low,22,0.0,0.0
CPU.S4,medium,22,0.0,0.0
CPU.S4,high,22,0.0,0.0
GPU.S1,low,22,207.46743726697946,280.0
GPU.S1,medium,22,370.7253641045476,443.0
GPU.S1,high,22,1477.0,1477.0
GPU.S2,low,22,0.0,0.0
GPU.S2,medium,22,0.0,0.0
GPU.S2,high,22,0.0,0.0
GPU.S3,low,22,0.0,0.0
GPU.S3,medium,22,0.0,0.0
GPU.S3,high,22,0.0,0.0
CPU.S1,low,23,2567.1587261269374,47340.0
CPU.S1,medium,23,274203.0,274203.0
CPU.S1,high,23,160927.0,160927.0
CPU.S2,low,23,0.0,0.0
CPU.S2,medium,23,0.0,0.0
CPU.S2,high,23,0.0,0.0
CPU.S3,low,23,0.0,0.0
CPU.S3,medium,23,0.0,0.0
CPU.S3,high,23,0.0,0.0
CPU.S4,low,23,0.0,0.0
CPU.S4,medium,23,0.0,0.0
CPU.S4,high,23,0.0,0.0
GPU.S1,low,23,230.08408235491228,317.0
GPU.S1,medium,23,398.0,398.0
GPU.S1,high,23,1321.5263157894738,1456.0
GPU.S2,low,23,0.0,0.0
GPU.S2,medium,23,0.0,0.0
GPU.S2,high,23,0.0,0.0
GPU.S3,low,23,0.0,0.0
GPU.S3,medium,23,0.0,0.0
GPU.S3,high,23,0.0,0.0
CPU.S1,low,24,2808.1934949382858,107824.0
CPU.S1,medium,24,319278.0,319278.0
CPU.S1,high,24,170052.0,170052.0
CPU.S2,low,24,0.0,0.0
CPU.S2,medium,24,0.0,0.0
CPU.S2,high,24,0.0,0.0
CPU.S3,low,24,0.0,0.0
CPU.S3,medium,24,0.0,0.0
CPU.S3,high,24,0.0,0.0
CPU.S4,low,24,0.0,0.0
CPU.S4,medium,24,0.0,0.0
CPU.S4,high,24,0.0,0.0
GPU.S1,low,24,317.2942467598201,245.0
GPU.S1,medium,24,408.14702484222266,398.0
GPU.S1,high,24,1381.0,1381.0
GPU.S2,low,24,0.0,0.0
GPU.S2,medium,24,0.0,0.0
GPU.S2,high,24,0.0,0.0
GPU.S3,low,24,0.0,0.0
GPU.S3,medium,24,0.0,0.0
GPU.S3,high,24,0.0,0.0
CPU.S1,low,25,2808.1934949382858,107399.0
CPU.S1,medium,25,336070.51786810387,336975.0
CPU.S1,high,25,204996.0,204996.0
CPU.S2,low,25,0.0,0.0
CPU.S2,medium,25,0.0,0.0
CPU.S2,high,25,0.0,0.0
CPU.S3,low,25,0.0,0.0
CPU.S3,medium,25,0.0,0.0
CPU.S3,high,25,0.0,0.0
CPU.S4,low,25,0.0,0.0
CPU.S4,medium,25,0.0,0.0
CPU.S4,high,25,0.0,0.0
GPU.S1,low,25,302.7514378870581,223.0
GPU.S1,medium,25,428.62641179434746,414.0
GPU.S1,high,25,1347.6242414150165,1151.0
GPU.S2,low,25,0.0,0.0
GPU.S2,medium,25,0.0,0.0
GPU.S2,high,25,0.0,0.0
GPU.S3,low,25,0.0,0.0
GPU.S3,medium,25,0.0,0.0
GPU.S3,high,25,0.0,0.0
CPU.S1,low,26,2680.4011519045434,71177.0
CPU.S1,medium,26,338872.30021405587,345264.0
CPU.S1,high,26,214273.0148075677,231772.0
CPU.S2,low,26,0.0,0.0
CPU.S2,medium,26,0.0,0.0
CPU.S2,high,26,0.0,0.0
CPU.S3,low,26,0.0,0.0
CPU.S3,medium,26,0.0,0.0
CPU.S3,high,26,0.0,0.0
CPU.S4,low,26,0.0,0.0
CPU.S4,medium,26,0.0,0.0
CPU.S4,high,26,0.0,0.0
GPU.S1,low,26,316.2546590814168,164.0
GPU.S1,medium,26,398.2645323028999,329.0
GPU.S1,high,26,1301.0,1301.0
GPU.S2,low,26,0.0,0.0
GPU.S2,medium,26,0.0,0.0
GPU.S2,high,26,0.0,0.0
GPU.S3,low,26,0.0,0.0
GPU.S3,medium,26,0.0,0.0
GPU.S3,high,26,0.0,0.0
CPU.S1,low,27,2528.1584531328845,83168.0
CPU.S1,medium,27,338872.3002140558,324057.0
CPU.S1,high,27,208079.0,208079.0
CPU.S2,low,27,0.0,0.0
CPU.S2,medium,27,0.0,0.0
CPU.S2,high,27,0.0,0.0
CPU.S3,low,27,0.0,0.0
CPU.S3,medium,27,0.0,0.0
CPU.S3,high,27,0.0,0.0
CPU.S4,low,27,0.0,0.0
CPU.S4,medium,27,0.0,0.0
CPU.S4,high,27,0.0,0.0
GPU.S1,low,27,267.5775359525795,157.0
GPU.S1,medium,27,445.1191831620646,349.0
GPU.S1,high,27,1351.0,1351.0
GPU.S2,low,27,0.0,0.0
GPU.S2,medium,27,0.0,0.0
GPU.S2,high,27,0.0,0.0
GPU.S3,low,27,0.0,0.0
GPU.S3,medium,27,0.0,0.0
GPU.S3,high,27,0.0,0.0
CPU.S1,low,28,2612.0306874254265,114792.0
CPU.S1,medium,28,326368.8020768855,338975.0
CPU.S1,high,28,220796.18256699695,216517.0
CPU.S2,low,28,0.0,0.0
CPU.S2,medium,28,0.0,0.0
CPU.S2,high,28,0.0,0.0
CPU.S3,low,28,0.0,0.0
CPU.S3,medium,28,0.0,0.0
CPU.S3,high,28,0.0,0.0
CPU.S4,low,28,0.0,0.0
CPU.S4,medium,28,0.0,0.0
CPU.S4,high,28,0.0,0.0
GPU.S1,low,28,155.0,155.0
GPU.S1,medium,28,451.0,451.0
GPU.S1,high,28,1469.0,1469.0
GPU.S2,low,28,0.0,0.0
GPU.S2,medium,28,0.0,0.0
GPU.S2,high,28,0.0,0.0
GPU.S3,low,28,0.0,0.0
GPU.S3,medium,28,0.0,0.0
GPU.S3,high,28,0.0,0.0
CPU.S1,low,29,2808.1934949382858,109566.0
CPU.S1,medium,29,350635.0,350635.0
CPU.S1,high,29,256060.0,256060.0
CPU.S2,low,29,0.0,0.0
CPU.S2,medium,29,0.0,0.0
CPU.S2,high,29,0.0,0.0
CPU.S3,low,29,0.0,0.0
CPU.S3,medium,29,0.0,0.0
CPU.S3,high,29,0.0,0.0
CPU.S4,low,29,0.0,0.0
CPU.S4,medium,29,0.0,0.0
CPU.S4,high,29,0.0,0.0
GPU.S1,low,29,128.0,128.0
GPU.S1,medium,29,384.84175961528763,376.0
GPU.S1,high,29,1594.0,1594.0
GPU.S2,low,29,0.0,0.0
GPU.S2,medium,29,0.0,0.0
GPU.S2,high,29,0.0,0.0
GPU.S3,low,29,0.0,0.0
GPU.S3,medium,29,0.0,0.0
GPU.S3,high,29,0.0,0.0
CPU.S1,low,30,2789.5992499967283,141724.0
CPU.S1,medium,30,413755.0706094567,460494.0
CPU.S1,high,30,329284.22271604853,334789.0
CPU.S2,low,30,0.0,0.0
CPU.S2,medium,30,0.0,0.0
CPU.S2,high,30,0.0,0.0
CPU.S3,low,30,0.0,0.0
CPU.S3,medium,30,0.0,0.0
CPU.S3,high,30,0.0,0.0
CPU.S4,low,30,0.0,0.0
CPU.S4,medium,30,0.0,0.0
CPU.S4,high,30,0.0,0.0
GPU.S1,low,30,137.31827593386123,55.0
GPU.S1,medium,30,384.84175961528763,367.0
GPU.S1,high,30,1573.2609817481293,1561.0
GPU.S2,low,30,0.0,0.0
GPU.S2,medium,30,0.0,0.0
GPU.S2,high,30,0.0,0.0
GPU.S3,low,30,0.0,0.0
GPU.S3,medium,30,0.0,0.0
GPU.S3,high,30,0.0,0.0
CPU.S1,low,31,2808.1934949382858,147900.0
CPU.S1,medium,31,373030.8917726277,380152.0
CPU.S1,high,31,329284.22271604853,277888.0
CPU.S2,low,31,0.0,0.0
CPU.S2,medium,31,0.0,0.0
CPU.S2,high,31,0.0,0.0
CPU.S3,low,31,0.0,0.0
CPU.S3,medium,31,0.0,0.0
CPU.S3,high,31,0.0,0.0
CPU.S4,low,31,0.0,0.0
CPU.S4,medium,31,0.0,0.0
CPU.S4,high,31,0.0,0.0
GPU.S1,low,31,61.0,61.0
GPU.S1,medium,31,375.0,375.0
GPU.S1,high,31,1683.0,1683.0
GPU.S2,low,31,0.0,0.0
GPU.S2,medium,31,0.0,0.0
GPU.S2,high,31,0.0,0.0
GPU.S3,low,31,0.0,0.0
GPU.S3,medium,31,0.0,0.0
GPU.S3,high,31,0.0,0.0
CPU.S1,low,32,2808.1934949382858,145580.0
CPU.S1,medium,32,387284.2280322442,409109.0
CPU.S1,high,32,324467.0,324467.0
CPU.S2,low,32,0.0,0.0
CPU.S2,medium,32,0.0,0.0
CPU.S2,high,32,0.0,0.0
CPU.S3,low,32,0.0,0.0
CPU.S3,medium,32,0.0,0.0
CPU.S3,high,32,0.0,0.0
CPU.S4,low,32,0.0,0.0
CPU.S4,medium,32,0.0,0.0
CPU.S4,high,32,0.0,0.0
GPU.S1,low,32,138.0,138.0
GPU.S1,medium,32,340.0,340.0
GPU.S1,high,32,1919.2841997898472,1968.0
GPU.S2,low,32,0.0,0.0
GPU.S2,medium,32,0.0,0.0
GPU.S2,high,32,0.0,0.0
GPU.S3,low,32,0.0,0.0
GPU.S3,medium,32,0.0,0.0
GPU.S3,high,32,0.0,0.0
CPU.S1,low,33,0.0,170216.0
CPU.S1,medium,33,413755.0706094567,465763.0
CPU.S1,high,33,402285.3666237737,422834.0
CPU.S2,low,33,0.0,0.0
CPU.S2,medium,33,0.0,0.0
CPU.S2,high,33,0.0,0.0
CPU.S3,low,33,0.0,0.0
CPU.S3,medium,33,0.0,0.0
CPU.S3,high,33,0.0,0.0
CPU.S4,low,33,0.0,0.0
CPU.S4,medium,33,0.0,0.0
CPU.S4,high,33,0.0,0.0
GPU.S1,low,33,176.0,176.0
GPU.S1,medium,33,471.263742942568,369.0
GPU.S1,high,33,1727.0,1727.0
GPU.S2,low,33,0.0,0.0
GPU.S2,medium,33,0.0,0.0
GPU.S2,high,33,0.0,0.0
GPU.S3,low,33,0.0,0.0
GPU.S3,medium,33,0.0,0.0
GPU.S3,high,33,0.0,0.0
CPU.S1,low,34,0.0,205512.0
CPU.S1,medium,34,413755.0706094567,519151.0
CPU.S1,high,34,405018.52941176476,445804.0
